City,Lat,Lng,Max Temp,Humidity,Cloud Cover,Wind Speed,Country
Kuala Terengganu,5.3302,103.1408,78.75,94,20,5.99,MY
Yellowknife,62.456,-114.3525,57.72,77,20,3.44,CA
Buraidah,26.326,43.975,109.85,9,92,4.47,SA
Yangi Marg`ilon,40.4272,71.7189,99.32,23,1,4.61,UZ
Vaini,-21.2,-175.2,73.56,88,75,12.66,TO
Faanui,-16.4833,-151.75,76.66,75,99,2.42,PF
Tiksi,71.6872,128.8694,50.22,89,45,2.68,RU
Punta Arenas,-53.15,-70.9167,33.82,86,75,8.05,CL
New Norfolk,-42.7826,147.0587,47.91,85,100,3.04,AU
Sitka,57.0531,-135.33,57.09,94,100,3.44,US
Ahipara,-35.1667,173.1667,55.56,81,99,18.41,NZ
Zhigansk,66.7697,123.3711,64.13,70,8,3.09,RU
Bengkulu,-3.8004,102.2655,77.13,86,99,3.15,ID
Robāţ Karīm,35.4846,51.0829,98.46,18,0,6.91,IR
George Town,5.4112,100.3354,84.88,86,20,3.44,MY
Znamensk,48.5842,45.7338,83.66,33,100,12.68,RU
Busselton,-33.65,115.3333,51.08,75,30,7.83,AU
Ikalamavony,-21.15,46.5833,67.96,51,9,3.83,MG
Rikitea,-23.1203,-134.9692,74.8,74,100,13.18,PF
San Isidro,-12.1167,-77.05,60.39,82,100,9.22,PE
Mgandu,-5.95,34.1333,75.69,32,98,8.43,TZ
East London,-33.0153,27.9116,68.94,56,0,10.36,ZA
Lavrentiya,65.5833,-171.0,38.03,86,97,16.26,RU
Lebu,-37.6167,-73.65,53.56,82,15,18.39,CL
Necochea,-38.5473,-58.7368,56.75,93,100,4.81,AR
Ankara,39.9199,32.8543,87.19,26,0,16.11,TR
Dehlorān,32.6941,47.2679,106.7,6,2,21.27,IR
Mataura,-46.1927,168.8643,44.47,97,100,8.08,NZ
Tuatapere,-46.1333,167.6833,44.4,95,100,9.93,NZ
Ushuaia,-54.8,-68.3,37.02,64,20,8.05,AR
Albany,42.6001,-73.9662,73.78,60,78,5.08,US
Isangel,-19.55,169.2667,73.06,89,80,14.79,VU
San Buenaventura,27.0833,-101.5333,83.48,61,40,0.0,MX
Am Timan,11.0297,20.2827,79.29,71,100,4.99,TD
Clyde River,70.4692,-68.5914,43.03,87,40,9.22,CA
Erbil,36.1926,44.0106,105.62,5,0,6.91,IQ
Hilo,19.7297,-155.09,75.27,94,100,6.91,US
Campeche,19.0,-90.5,86.2,57,11,4.14,MX
Malakal,9.5334,31.6605,85.37,59,98,6.51,SS
Brigantine,39.4101,-74.3646,78.03,75,0,4.61,US
Anadyr,64.75,177.4833,46.9,87,40,6.71,RU
Qaanaaq,77.484,-69.3632,42.6,61,2,1.39,GL
Puerto Ayora,-0.7393,-90.3518,71.56,98,100,5.01,EC
Pontes e Lacerda,-15.2261,-59.3353,94.44,21,17,4.07,BR
Hermanus,-34.4187,19.2345,63.81,74,68,6.15,ZA
Sambava,-14.2667,50.1667,71.37,76,30,11.61,MG
Nanortalik,60.1432,-45.2371,45.3,88,88,6.46,GL
Thompson,55.7435,-97.8558,59.16,88,75,3.44,CA
Waipawa,-41.4122,175.5153,49.19,98,92,6.82,NZ
Arrondissement de Vesoul,47.5833,5.8333,79.09,24,18,9.31,FR
Salinópolis,-0.6136,-47.3561,83.26,74,89,8.23,BR
Esperance,-33.8667,121.9,55.24,78,92,9.57,AU
Avarua,-21.2078,-159.775,69.85,73,75,9.22,CK
Disna,55.568,28.1971,75.34,64,63,7.11,BY
Taoudenni,22.6783,-3.9836,114.04,7,4,16.31,ML
Vitim,59.4511,112.5578,71.62,67,29,7.65,RU
Nueve de Julio,-35.4444,-60.8831,64.27,93,100,5.53,AR
Longyearbyen,78.2186,15.6401,49.84,76,75,10.36,SJ
Cape Town,-33.9258,18.4232,66.34,53,79,7.0,ZA
Olinda,-8.0089,-34.8553,78.53,69,40,10.36,BR
Half Moon Bay,37.4636,-122.4286,62.91,87,100,6.91,US
Guantánamo,20.1444,-75.2092,89.17,52,62,8.19,CU
Cidreira,-30.1811,-50.2056,66.06,80,3,12.06,BR
Bereket,39.2446,55.5154,94.06,31,44,9.75,TM
Kapaa,22.0752,-159.319,79.12,86,100,18.41,US
Chokurdakh,70.6333,147.9167,41.22,72,100,10.2,RU
Carnarvon,-24.8667,113.6333,65.37,59,0,13.8,AU
Mayo,38.8876,-76.5119,79.95,82,100,3.0,US
Saint Paul Harbor,57.79,-152.4072,42.31,75,0,8.05,US
Ngunguru,-35.6167,174.5,54.63,78,75,16.6,NZ
Ponta do Sol,32.6667,-17.1,86.63,50,68,7.16,PT
Kavaratti,10.5669,72.642,81.34,78,100,15.88,IN
São João da Barra,-21.6403,-41.0511,78.89,71,17,9.35,BR
Saint George,37.1041,-113.5841,75.63,77,0,4.61,US
Hay River,60.8156,-115.7999,60.78,63,40,8.05,CA
Hualmay,-11.0964,-77.6139,63.61,78,92,10.13,PE
Machacamarca,-18.1667,-67.0333,53.55,39,74,2.57,BO
Nome,64.5011,-165.4064,44.67,81,100,21.85,US
Westport,41.1415,-73.3579,80.02,57,0,8.05,US
Samarai,-10.6167,150.6667,78.4,85,100,7.38,PG
Atuona,-9.8,-139.0333,76.77,75,2,16.31,PF
Bryan,30.6744,-96.37,85.82,74,75,8.05,US
Hambantota,6.1241,81.1185,75.54,100,75,5.75,LK
Codrington,-38.2667,141.9667,53.1,90,61,13.98,AU
Brighton,50.8284,-0.1395,70.81,69,40,8.05,GB
Caririaçu,-7.0422,-39.2836,80.69,34,0,17.27,BR
Cabo San Lucas,22.8909,-109.9124,84.61,76,62,5.03,MX
Shahr-e Bābak,30.1165,55.1186,82.65,37,90,20.94,IR
Dikson,73.5069,80.5464,50.74,69,70,22.37,RU
Coyhaique,-45.5752,-72.0662,31.95,80,100,5.75,CL
Bredasdorp,-34.5322,20.0403,61.54,51,22,7.81,ZA
Bluff,-46.6,168.3333,44.8,89,100,25.52,NZ
Khorinsk,52.1657,109.7726,57.02,86,100,5.19,RU
Flinders,-34.5833,150.8552,53.19,67,10,11.99,AU
Upernavik,72.7868,-56.1549,37.02,93,96,11.12,GL
San Patricio,28.017,-97.5169,87.89,58,49,9.04,US
Aginskoye,51.1,114.53,61.83,96,98,10.22,RU
Khani,41.9563,42.9566,65.77,83,25,4.68,GE
Hobart,-42.8794,147.3294,48.25,91,40,8.05,AU
Hong Kong,22.2855,114.1577,87.33,76,31,4.0,HK
Shwebo,22.5667,95.7,86.02,66,23,4.45,MM
Neuquén,-38.9516,-68.0591,44.49,93,75,2.3,AR
Vao,-22.6667,167.4833,67.89,64,0,9.48,NC
Mulegé,26.8833,-111.9833,86.38,53,50,2.06,MX
Darhan,49.4867,105.9228,55.24,83,98,2.89,MN
Fuerte Olimpo,-21.0415,-57.8738,96.04,18,0,9.75,PY
Tasiilaq,65.6145,-37.6368,46.56,93,100,4.16,GL
Lompoc,34.6391,-120.4579,56.52,89,100,1.99,US
Caravelas,-17.7125,-39.2481,78.57,59,14,7.49,BR
Bambanglipuro,-7.95,110.2833,73.98,88,14,6.31,ID
Kidal,18.4411,1.4078,107.98,7,6,12.3,ML
Lüderitz,-26.6481,15.1594,57.43,72,28,9.46,NA
Constitución,-35.3333,-72.4167,54.59,91,99,10.89,CL
Narsaq,60.9167,-46.05,53.82,83,94,5.86,GL
Souillac,-20.5167,57.5167,71.98,78,40,11.5,MU
Keti Bandar,24.1447,67.4497,83.3,83,97,10.89,PK
Saskylakh,71.9167,114.0833,67.77,63,44,1.54,RU
Darovskoy,58.77,47.9564,70.11,65,86,4.29,RU
Provideniya,64.3833,-173.3,40.93,79,80,6.67,RU
Champotón,19.35,-90.7167,84.11,64,7,6.31,MX
Bermeo,43.4209,-2.7215,78.8,58,10,8.16,ES
San Cristobal,7.7669,-72.225,71.78,54,71,4.38,VE
Byron Bay,-28.65,153.6167,58.96,56,0,13.29,AU
Jamestown,42.097,-79.2353,71.19,78,0,5.75,US
Payo,-3.7508,103.6372,73.51,97,100,2.51,ID
Arrondissement de Saint-Denis,48.9167,2.3333,75.24,52,0,9.22,FR
Comodoro Rivadavia,-45.8667,-67.5,37.26,75,75,11.5,AR
Belaya Gora,68.5333,146.4167,50.7,56,79,9.1,RU
Mossendjo,-2.9506,12.7261,83.95,43,98,4.52,CG
Mar del Plata,-38.0023,-57.5575,55.42,59,100,5.75,AR
Gamba,-2.65,10.0,76.6,67,96,10.09,GA
Naze,28.3667,129.4833,81.52,75,17,6.15,JP
Viedma,-40.8135,-62.9967,49.53,96,100,9.17,AR
Arraial do Cabo,-22.9661,-42.0278,76.96,69,40,19.57,BR
Puerto Escondido,15.85,-97.0667,77.83,78,40,9.22,MX
Prince Rupert,54.3161,-130.3201,59.09,98,75,13.8,CA
Ribeira Grande,38.5167,-28.7,77.4,83,40,9.22,PT
Miranda,3.2499,-76.2281,69.93,73,71,4.68,CO
Nové Strašecí,50.1527,13.9004,80.85,33,40,8.01,CZ
Nālūt,30.3333,10.85,96.93,8,0,3.49,LY
Mezen',65.8522,44.24,72.93,42,40,5.26,RU
Inírida,3.8653,-67.9239,79.41,79,94,2.42,CO
Atmakūr,15.8833,78.5833,75.06,92,100,3.22,IN
Sylva,58.0348,56.7635,69.17,60,26,8.23,RU
Pontal do Paraná,-25.6533,-48.5128,69.31,74,92,3.98,BR
Arcelia,18.2833,-100.2667,74.8,86,69,1.68,MX
Troitsko-Pechorsk,62.7084,56.1964,62.42,51,100,3.98,RU
Yorosso,12.3536,-4.7761,91.06,47,82,5.1,ML
Diplo,24.4667,69.584,81.93,81,100,13.76,PK
Mahébourg,-20.4081,57.7,71.89,78,40,11.5,MU
Healdsburg,38.6105,-122.8692,68.02,83,100,1.01,US
Luleå,65.5842,22.1547,60.87,100,100,2.3,SE
Khatanga,71.9667,102.5,71.19,47,100,5.41,RU
Ardon,43.17,44.29,83.39,56,68,1.01,RU
Biloela,-24.4167,150.5,57.7,63,70,12.82,AU
Seoul,37.5683,126.9778,80.2,86,0,3.44,KR
São Filipe,14.8961,-24.4956,79.02,80,68,4.34,CV
Porbandar,21.6422,69.6093,81.34,84,100,12.71,IN
Whitehorse,60.7161,-135.0538,59.77,72,75,23.02,CA
Ambon City,-3.6954,128.1814,79.23,14,75,5.75,ID
Adrar,20.5022,-10.0711,105.28,15,9,4.63,MR
Hofn,64.2539,-15.2082,51.33,91,99,4.21,IS
Port Alfred,-33.5906,26.891,64.18,72,1,3.0,ZA
Francistown,-21.17,27.5079,73.81,27,0,10.78,BW
Guwahati,26.1862,91.751,82.31,94,75,0.0,IN
Hithadhoo,-0.6,73.0833,82.96,76,90,12.19,MV
Grindavik,63.8424,-22.4338,57.15,87,100,19.57,IS
Puerto Maldonado,-12.6,-69.1833,77.4,83,75,2.3,PE
Tongzi,28.7829,105.0877,83.17,81,2,2.55,CN
Nara,34.6851,135.8049,85.32,91,100,2.46,JP
Corn Island,12.1694,-83.0418,78.33,79,100,4.81,NI
Ostrovnoy,68.0531,39.5131,59.63,82,100,20.42,RU
Lewisporte,49.2499,-55.0482,74.91,56,100,17.38,CA
Daugai,54.3667,24.3333,77.65,59,66,7.81,LT
Petropavlovka,50.6114,105.3196,53.98,73,69,5.75,RU
Makakilo City,21.3469,-158.0858,77.32,73,0,8.05,US
Port Hardy,50.6996,-127.4199,55.58,100,100,2.3,CA
Beringovskiy,63.05,179.3167,46.81,87,99,6.06,RU
Kholodnyy,62.7167,147.95,59.18,55,93,1.39,RU
Norman Wells,65.282,-126.8329,59.04,77,75,3.44,CA
Grand-Santi,4.25,-54.3833,88.5,56,40,3.2,GF
Katsuura,35.1333,140.3,79.38,93,95,14.03,JP
Castro,-24.7911,-50.0119,72.0,48,0,3.06,BR
Asău,46.4333,26.4,87.28,27,4,5.48,RO
Yerbogachën,61.2767,108.0108,67.71,73,66,3.98,RU
Eišiškės,54.1667,25.0,74.91,66,65,8.03,LT
Nemuro,43.3236,145.575,62.31,95,73,6.26,JP
Port-Cartier,50.0334,-66.8654,68.76,54,75,13.22,CA
Zhezkazgan,47.8043,67.7144,93.18,17,0,20.13,KZ
Escárcega,18.6089,-90.7454,85.21,59,13,4.14,MX
Yulara,-25.2406,130.9889,47.61,48,0,10.2,AU
Quatre Cocos,-20.2078,57.7625,71.71,76,22,11.83,MU
Mnogovershinnyy,53.9353,139.9242,52.84,97,99,3.06,RU
Mahibadhoo,3.7833,72.9667,82.04,79,14,16.91,MV
Grand Gaube,-20.0064,57.6608,72.0,71,3,7.0,MU
Asnæs,55.8123,11.5013,65.26,65,85,1.01,DK
Mocuba,-16.8392,36.9856,66.13,86,99,4.23,MZ
Edd,13.9297,41.6925,92.41,61,82,11.56,ER
Zanesville,39.9404,-82.0132,74.5,77,0,4.61,US
Rafai,4.95,23.9167,72.43,92,100,1.99,CF
Hūn,29.1268,15.9477,97.36,11,1,7.14,LY
Arrondissement de Dieppe,49.75,1.1667,71.1,64,83,1.01,FR
Breves,-1.6822,-50.4803,90.79,50,100,3.15,BR
Akureyri,65.6835,-18.0878,55.33,71,75,10.36,IS
Hokitika,-42.7167,170.9667,46.67,79,41,5.35,NZ
El Alto,-4.2714,-81.2147,64.06,78,90,3.42,PE
‘Āhuimanu,21.4447,-157.8378,78.51,77,75,11.5,US
Tual,-5.6667,132.75,79.47,81,70,21.9,ID
Labytnangi,66.6572,66.4183,51.42,84,100,14.94,RU
Butaritari,3.0707,172.7902,81.66,73,59,18.39,KI
Tías,28.9611,-13.645,94.68,28,0,23.02,ES
Brufut,13.3814,-16.7518,84.29,74,75,8.05,GM
Tuktoyaktuk,69.4541,-133.0374,60.8,77,100,12.66,CA
Vilyuysk,63.7553,121.6247,68.58,77,11,6.44,RU
Dunedin,-45.8742,170.5036,45.88,96,100,15.26,NZ
Coquimbo,-29.9533,-71.3436,53.33,82,20,0.0,CL
Sabang,5.8933,95.3214,82.09,76,100,9.95,ID
Bandarbeyla,9.4942,50.8122,77.34,76,60,31.38,SO
Luganville,-15.5333,167.1667,78.19,87,48,6.35,VU
Topeka,39.0483,-95.678,70.18,92,100,5.75,US
Concepción de Buenos Aires,19.9667,-103.2667,61.7,86,82,1.19,MX
Alice Springs,-23.7,133.8833,38.75,70,0,0.0,AU
Saint-Philippe,-21.3585,55.7679,72.99,83,52,9.31,RE
Pisco,-13.7,-76.2167,62.65,82,100,2.3,PE
Zabid,14.1951,43.3152,95.52,39,86,7.87,YE
Praia,14.9215,-23.5087,84.74,65,20,11.5,CV
Laredo,27.5064,-99.5075,82.69,74,0,14.97,US
Yanam,16.7333,82.2167,80.02,85,16,3.0,IN
Nikolskoye,59.7035,30.7861,82.29,41,38,7.76,RU
Tura,25.5198,90.2201,74.08,88,79,3.31,IN
Karratha,-20.7377,116.8463,69.69,34,34,7.4,AU
Praia da Vitória,38.7333,-27.0667,79.75,83,75,4.16,PT
Cherskiy,68.75,161.3,37.04,82,7,11.54,RU
Honningsvåg,70.9821,25.9704,56.95,88,20,6.91,NO
Bambous Virieux,-20.3428,57.7575,71.85,78,40,11.5,MU
Bundibugyo,0.7414,30.0417,85.33,45,86,2.37,UG
Airai,-8.9266,125.4092,54.5,67,56,3.38,TL
Gallup,35.5281,-108.7426,66.96,85,20,9.22,US
Mbinga,-10.9333,35.0167,64.22,61,91,3.71,TZ
Pangnirtung,66.1451,-65.7125,41.0,93,75,12.66,CA
Bertoua,4.5833,13.6833,76.73,83,79,3.02,CM
Arivonimamo,-19.0167,47.1833,64.45,58,6,6.13,MG
Tulun,54.5611,100.5792,57.69,67,80,3.11,RU
Mabaruma,8.2,-59.7833,87.49,57,94,4.88,GY
Severo-Kuril'sk,50.6789,156.125,52.0,87,100,6.51,RU
Ulaangom,49.9811,92.0667,60.33,46,71,1.16,MN
Nānākuli,21.3906,-158.1547,78.75,73,0,4.61,US
Linqiong,30.4159,103.4609,91.22,87,47,3.94,CN
Coronini,44.68,21.6855,99.18,12,0,5.39,RS
Mundo Novo,-11.8589,-40.4725,79.34,45,93,9.35,BR
Bhainsdehi,21.6467,77.6325,70.54,97,100,3.38,IN
Dingle,10.9995,122.6711,77.41,90,81,3.33,PH
Vinh,18.6667,105.6667,81.03,80,0,5.23,VN
Okhotsk,59.3833,143.3,55.67,88,89,7.27,RU
Hasaki,35.7333,140.8333,79.29,93,98,16.78,JP
Fort Nelson,58.8053,-122.7002,60.39,82,75,8.05,CA
Ossora,59.2353,163.0719,54.12,82,71,1.52,RU
Pervomayskoye,43.919,46.7102,85.87,34,85,15.61,RU
Hirara,24.8,125.2833,84.99,78,13,11.14,JP
Chivolo,10.025,-74.6228,78.3,82,100,6.69,CO
Morgan City,29.6994,-91.2068,88.0,72,94,4.74,US
Ngorongoro,-3.2397,35.4875,61.11,44,40,7.74,TZ
Rajaori,33.3833,74.3,75.02,90,100,2.24,IN
Jōetsu,37.1483,138.2364,75.11,96,52,3.38,JP
Sawtell,-30.3833,153.1,55.42,41,0,12.66,AU
Mossamedes,-15.1961,12.1522,70.48,62,29,13.15,AO
Guerrero Negro,27.9769,-114.0611,70.63,75,100,4.97,MX
Skaerbaek,55.1573,8.769,64.06,60,100,20.51,DK
Iqaluit,63.7506,-68.5145,47.93,81,20,4.61,CA
Sioux Lookout,50.1001,-91.917,62.67,94,100,5.75,CA
Port Lincoln,-34.7333,135.8667,54.9,68,71,12.01,AU
Kirakira,-10.4544,161.9205,78.58,85,68,6.87,SB
Mineros,-17.1167,-63.2333,89.08,39,37,7.31,BO
Lianran,24.9227,102.485,70.34,77,76,3.87,CN
Kuril'sk,45.2333,147.8833,55.96,95,37,8.1,RU
Emerald,-23.5333,148.1667,58.33,70,1,14.74,AU
São Luís de Montes Belos,-16.525,-50.3722,88.23,21,0,4.12,BR
Ayr,55.4627,-4.6339,63.5,59,20,17.27,GB
Örnsköldsvik,63.2909,18.7153,65.35,88,100,6.91,SE
Iranshahr,27.2025,60.6848,89.94,55,75,16.11,IR
Zaozyornoye,45.1582,33.2787,77.54,54,0,15.61,UA
Padang,-0.9492,100.3543,76.98,87,33,2.75,ID
Soyo,-6.1349,12.3689,75.16,73,61,9.82,AO
Cotonou,6.3654,2.4183,80.58,78,40,14.97,BJ
Prainha,-1.8,-53.48,87.8,55,64,4.79,BR
Wanning,18.8003,110.3967,81.18,83,8,5.03,CN
Aksarka,66.5606,67.7975,49.8,90,100,17.05,RU
Arrondissement de Dax,43.75,-1.1667,83.89,61,2,5.75,FR
Kachīry,53.0675,76.1036,78.98,37,91,5.41,KZ
Lethem,3.3803,-59.7968,76.55,89,94,2.53,GY
Fukuechō,32.6881,128.8419,78.22,76,0,6.33,JP
Yumen,40.2833,97.2,80.29,10,58,10.02,CN
Ereymentau,51.6199,73.1033,79.12,31,100,11.41,KZ
Hamilton,39.1834,-84.5333,72.45,90,100,0.0,US
Veshenskaya,49.6303,41.7334,79.14,51,84,5.12,RU
